ID,地区,名称,人数,時点,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数,対象となる町会・自治会
CC0000000504,御祓,御祓地区コミュニティセンター,91,令和6年1月18日午前6時,,石川県七尾市一本杉町１２４,石川県,七尾市,一本杉町,124番地,,37.04826,136.96136,2.7,,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内191人／屋外0人(面積の1/2),御祓地区（25町会）
NEW001,御祓,寄合い処みそぎ,36,令和6年1月18日午前6時,,石川県七尾市馬出町ツ部49,石川県,七尾市,馬出町ツ部,49,,37.04683152,136.9618191,,,,,,,,,,,,
CC0000000518,袖ケ江,山王小学校,154,令和6年1月18日午前6時,,石川県七尾市山王町ツ３４,石川県,七尾市,山王町ツ,34番地,,37.04185,136.97373,4.2,0767-57-5018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内480人／屋外3,350人(面積の1/2)",袖ケ江地区（19町会）
CC0000000529,徳田,徳田地区コミュニティセンター,24,令和6年1月18日午前6時,,石川県七尾市中挟町リ２３,石川県,七尾市,中挟町リ,23番地,,37.01242,136.94905,3.8,0767-53-1111,1.0,1.0,,1.0,,,1.0,,屋内211人／屋外0人(面積の1/2),徳田地区（16町会）
CC0000000540,矢田郷,七尾東部中学校,19,令和6年1月18日午前6時,,石川県七尾市藤野町リ１,石川県,七尾市,藤野町リ,1,,37.02789,136.96923,15.9,0767-52-5240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,054人／屋外18,550人(面積の1/2)",矢田郷地区（24町会）
CC0000000539,矢田郷,天神山小学校,19,令和6年1月18日午前6時,,石川県七尾市本府中町天神山１,石川県,七尾市,本府中町天神山,1,,37.03161,136.97477,21.7,0767-53-6857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内460人／屋外3,760人(面積の1/2)",矢田郷地区（24町会）
CC0000000537,矢田郷,矢田郷地区コミュニティセンター,243,令和6年1月18日午前6時,,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.03364,136.96987,14.8,0767-52-9850,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,700人／屋外2,250人(面積の1/2)",矢田郷地区（24町会）
CC0000000547,東湊,東湊地区コミュニティセンター,14,令和6年1月18日午前6時,,石川県七尾市佐味町ト２－３,石川県,七尾市,佐味町ト,２ー３,,37.04838,136.99758,3.0,076-225-1262,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内145人／屋外0人(面積の1/2),東湊地区（7町会）
CC0000000552,西湊,小丸山小学校,107,令和6年1月18日午前6時,,石川県七尾市小島町チ３,石川県,七尾市,小島町チ,３ー４１,,37.0466,136.95365,5.0,0767-52-0959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内466人／屋外3,060人(面積の1/2)",西湊地区（13町会）
CC0000000553,西湊,七尾総合市民体育館,44,令和6年1月18日午前6時,,石川県七尾市小島町西４,石川県,七尾市,小島町西,4,,37.04376,136.95279,15.0,0767-52-9266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内720人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000551,西湊,西湊地区コミュニティセンター,19,令和6年1月18日午前6時,,石川県七尾市津向町松山１,石川県,七尾市,津向町松山,1,,37.05771,136.95045,4.0,0767-52-3149,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内244人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000561,石崎,石崎小学校,54,令和6年1月18日午前6時,,石川県七尾市石崎町子４０,石川県,七尾市,石崎町子,40,,37.07544,136.93081,2.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内100人／屋外4,560人(面積の1/2)",石崎地区（8町会）
CC0000000565,和倉,和倉小学校,104,令和6年1月18日午前6時,,石川県七尾市和倉町ひばり３－９０,石川県,七尾市,和倉町ひばり,３ー９０,,37.08308,136.91803,17.0,0767-62-2837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内396人／屋外3,600人(面積の1/2)",和倉地区（8町会）
CC0000000564,和倉,和倉地区コミュニティセンター,19,令和6年1月18日午前6時,,石川県七尾市和倉町ク１５－３,石川県,七尾市,和倉町ク,１５ー３,,37.08554,136.91724,11.0,0767-62-2072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内90人／屋外1570人(面積の1/2),和倉地区（8町会）
CC0000000575,崎山,崎山地区コミュニティセンター,28,令和6年1月18日午前6時,,石川県七尾市鵜浦町下１３－２,石川県,七尾市,鵜浦町下,１３ー２,,37.09727,137.04635,2.0,0767-53-8434,,1.0,,1.0,,1.0,,,"屋内523人／屋外3,589人(面積の1/2)",崎山地区（4町会）
CC0000000576,崎山,旧北嶺中学校,8,令和6年1月18日午前6時,,石川県七尾市湯川町３－６８－２,石川県,七尾市,湯川町,３ー６８ー２,,37.08343,137.04228,33.0,0767-59-1124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内905人／屋外4,939人(面積の1/2)",崎山地区（4町会）
CC0000000577,高階,高階地区コミュニティセンター,14,令和6年1月18日午前6時,,石川県七尾市町屋町ホ５５,石川県,七尾市,町屋町ホ,55,,37.03271,136.90198,8.0,0767-59-1114,1.0,1.0,,1.0,,1.0,1.0,,"屋内415人／屋外4,718人(面積の1/2)",高階地区（9町会）
CC0000000581,田鶴浜,田鶴浜高校,66,令和6年1月18日午前6時,,石川県七尾市上野ヶ丘町５９,石川県,七尾市,上野ヶ丘町,59,,37.05948,136.88375,14.0,0767-53-8419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,065人／屋外2,210人（面積の1/2）",田鶴浜地区（20町会）
CC0000000579,田鶴浜,田鶴浜地区コミュニティセンター（サンビーム）,143,令和6年1月18日午前6時,,石川県七尾市垣吉町へ２４,石川県,七尾市,垣吉町へ,24,,37.05963,136.89507,13.0,0767-58-1213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内483人／屋外2,350人(面積の1/2)",田鶴浜地区（20町会）
CC0000000583,田鶴浜,田鶴浜体育館,111,令和6年1月18日午前6時,,石川県七尾市田鶴浜町二１４４,石川県,七尾市,田鶴浜町二,144,,37.06028,136.89264,14.0,0767-68-3111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内720人／屋外0人(面積の1/2),田鶴浜地区（20町会）
CC0000000598,中島,中島小学校（体育館）,113,令和6年1月18日午前6時,,石川県七尾市中島町上町チ２６－２,石川県,七尾市,中島町上町チ,２６ー２,,37.12141,136.84263,19.0,0767-66-2323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内360人／屋外8,232人(面積の1/2)",熊木地区（6町会）
CC0000000590,中島,中島地区コミュニティセンター西岸分館,28,令和6年1月18日午前6時,,石川県七尾市中島町小牧タ１８－１,石川県,七尾市,中島町小牧タ,18ー１,,37.14221,136.8724,9.0,0767-68-3525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内110人／屋外841人(面積の1/2),西岸地区（8町会）
CC0000000593,中島,釶打農林漁家高齢者センター,22,令和6年1月18日午前6時,,石川県七尾市中島町藤瀬３－１２２－１,石川県,七尾市,中島町藤瀬,３－１２２ー１,,37.14357,136.81777,24.0,0767-66-0170,1.0,1.0,,1.0,,1.0,1.0,,屋内80人／屋外0人(面積の1/2),釶打地区（10町会）
CC0000000602,中島,中島地区コミュニティセンター豊川分館,12,令和6年1月18日午前6時,,石川県七尾市中島町豊田町ル１３－１,石川県,七尾市,中島町豊田町ル,１３ー１,,37.10085,136.83388,3.0,0767-66-1567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内378人／屋外4,500人(面積の1/2)",豊川地区（7町会）
CC0000000607,能登島,能登島生涯学習センター,39,令和6年1月18日午前6時,,石川県七尾市能登島向田町五級６３－１,石川県,七尾市,能登島向田町五級,６３ー１,,37.12197,136.99388,41.0,0767-66-1778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,047人／屋外5,000人(面積の1/2)",能登島地区（20町会）
CC0000000606,能登島,能登島地区コミュニティセンター,34,令和6年1月18日午前6時,,石川県七尾市能登島向田町ろ８－１,石川県,七尾市,能登島向田町ろ,８ー１,,37.12621,136.99655,12.0,0767-66-0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内96人／屋外0人(面積の1/2),能登島地区（20町会）
